,route,cum_vols,cum_dists,truck_no,truck_volume
0,unknown_5,16354.0,0.0,0.0,6451500.0
1,unknown_29,24400.5,0.0,0.0,6451500.0
2,شبرا الخيمة_36,101359.0,68.7474149878222,0.0,6451500.0
3,شبرا الخيمه_20,123319.0,69.34141563871977,0.0,6451500.0
4,شبرا الخيمة_8,319381.5,70.2884266077953,0.0,6451500.0
5,شبرا الخيمه_12,1263151.0,71.43990054464751,0.0,6451500.0
6,شبرا الخيمه_3,1391173.5,72.31279826757378,0.0,6451500.0
7,ميدان العباسية,1480155.5,72.96115100781007,0.0,6451500.0
8,الزاويه الحمراء,1781440.375,76.19760460504372,0.0,6451500.0
9,ترعة الجبل,2127392.125,79.65475001065771,0.0,6451500.0
10,unknown_22,2195645.125,80.6766677739745,0.0,6451500.0
11,التروللى,2522921.625,82.33183874267795,0.0,6451500.0
12,عزبة النخل,2762461.375,85.99817206677083,0.0,6451500.0
13,شبرا الخيمة_17,2904965.375,88.32756240691407,0.0,6451500.0
14,السلام,2951533.375,96.60109952235238,0.0,6451500.0
15,unknown_32,3290546.125,110.56015873310056,0.0,6451500.0
16,مدينه نصر,3437636.375,113.44411075940918,0.0,6451500.0
17,المعادي_21,3461261.375,123.16425074143609,0.0,6451500.0
18,المعادي_9,3489231.875,129.62918733018984,0.0,6451500.0
19,المعادي_6,3522206.875,130.6679964524626,0.0,6451500.0
20,المعادي_25,3627896.875,132.2167487072513,0.0,6451500.0
21,unknown_1,4106151.375,133.06054040499473,0.0,6451500.0
22,السيدة زينب_16,4294889.375,137.09184499892518,0.0,6451500.0
23,unknown_31,4433477.375,138.57370017512275,0.0,6451500.0
24,مصر القديمة,4603879.375,139.3017033673785,0.0,6451500.0
25,unknown_34,4755352.375,141.80209843997022,0.0,6451500.0
26,ابو اتاته,4790774.875,144.23835811103726,0.0,6451500.0
27,unknown_18,4941126.0,146.59996179979152,0.0,6451500.0
28,الطوابق_14,5068809.0,146.97281209143105,0.0,6451500.0
29,الطوابق_28,5156891.0,146.97281209143105,0.0,6451500.0
30,unknown_7,5361105.5,148.0305586399254,0.0,6451500.0
31,المريوطيه,5441358.0,148.9059362791034,0.0,6451500.0
32,unknown_4,5659090.0,149.3906439993775,0.0,6451500.0
33,unknown_15,5860217.75,150.98811535066505,0.0,6451500.0
34,الهرم_33,6065376.0,151.62457916194427,0.0,6451500.0
35,نزلة السيسي,6213663.25,153.0881966239481,0.0,6451500.0
36,الهرم_35,6349389.75,156.41632363173193,0.0,6451500.0
37,الهرم_2,6363789.75,159.13922336871434,0.0,6451500.0
38,الهرم_27,6376832.25,159.13922336871434,0.0,6451500.0
39,المنيره,6421274.25,171.75366421717135,0.0,6451500.0
0,unknown_24,105846.5,0.0,1.0,6451500.0
1,حلوان,157663.5,0.42479003412812555,1.0,6451500.0
2,unknown_0,208886.0,1.9392963186300904,1.0,6451500.0
3,unknown_30,283722.5,3.4799668313950556,1.0,6451500.0
4,السيدة زينب_19,865200.875,24.498807708392356,1.0,6451500.0
5,السيدة زينب_13,1144268.375,26.626507928035053,1.0,6451500.0
6,unknown_26,1243083.75,30.621477231250534,1.0,6451500.0
7,unknown_10,1463556.75,33.899392882276345,1.0,6451500.0
8,unknown_11,1679714.25,38.4999229093472,1.0,6451500.0
9,unknown_23,1866279.25,45.26639259259844,1.0,6451500.0
